,trade,best_bid,best_offer,trader_name0,total_profit0,traders_number0,avg_profit0,trader_name1,total_profit1,traders_number1,avg_profit1,trader_name2,total_profit2,traders_number2,avg_profit2,trader_name3,total_profit3,traders_number3,avg_profit3,trader_name4,total_profit4,traders_number4,avg_profit4,trader_name5,total_profit5,traders_number5,avg_profit5,run_n,k,F
399,300.0,186.0,188.0, GVWY,7182.0,10.0,718.2, PRDE,1322.0,10.1,132.2, SHVR,8654.0,10.2,865.4, SNPR,1186.0,10.3,118.6, ZIC,4338.0,10.4,433.8, ZIP,2708.0,10.5,270.8,0,32,0.8
282,300.0,181.0,185.0, GVWY,4779.0,10.0,477.9, PRDE,4528.0,10.1,452.8, SHVR,9737.0,10.2,973.7, SNPR,1422.0,10.3,142.2, ZIC,1030.0,10.4,103.0, ZIP,3531.0,10.5,353.1,0,32,1.1
535,300.0,174.0,201.0, GVWY,7646.0,10.0,764.6, PRDE,5009.0,10.1,500.9, SHVR,3867.0,10.2,386.7, SNPR,1834.0,10.3,183.4, ZIC,3013.0,10.4,301.3, ZIP,6136.0,10.5,613.6,0,32,1.3
563,300.0,180.0,181.0, GVWY,3315.0,10.0,331.5, PRDE,5430.0,10.1,543.0, SHVR,3065.0,10.2,306.5, SNPR,2238.0,10.3,223.8, ZIC,2804.0,10.4,280.4, ZIP,8577.0,10.5,857.7,0,32,1.5
95,300.0,182.0,187.0, GVWY,4270.0,10.0,427.0, PRDE,5451.0,10.1,545.1, SHVR,6942.0,10.2,694.2, SNPR,725.0,10.3,72.5, ZIC,4500.0,10.4,450.0, ZIP,5210.0,10.5,521.0,0,32,1.7
410,300.0,167.0,189.0, GVWY,8100.0,10.0,810.0, PRDE,4125.0,10.1,412.5, SHVR,7025.0,10.2,702.5, SNPR,781.0,10.3,78.1, ZIC,3874.0,10.4,387.4, ZIP,3429.0,10.5,342.9,0,32,2.0
603,300.0,174.0,180.0, GVWY,2748.0,10.0,274.8, PRDE,5141.0,10.1,514.1, SHVR,6427.0,10.2,642.7, SNPR,899.0,10.3,89.9, ZIC,4351.0,10.4,435.1, ZIP,6306.0,10.5,630.6,0,64,0.0
882,300.0,182.0,189.0, GVWY,10575.0,10.0,1057.5, PRDE,1689.0,10.1,168.9, SHVR,6592.0,10.2,659.2, SNPR,1266.0,10.3,126.6, ZIC,2705.0,10.4,270.5, ZIP,5720.0,10.5,572.0,0,64,0.2
429,300.0,182.0,185.0, GVWY,7354.0,10.0,735.4, PRDE,4666.0,10.1,466.6, SHVR,7902.0,10.2,790.2, SNPR,541.0,10.3,54.1, ZIC,3261.0,10.4,326.1, ZIP,8457.0,10.5,845.7,0,64,0.4
264,300.0,169.0,177.0, GVWY,6668.0,10.0,666.8, PRDE,1100.0,10.1,110.0, SHVR,9216.0,10.2,921.6, SNPR,1041.0,10.3,104.1, ZIC,2276.0,10.4,227.6, ZIP,8548.0,10.5,854.8,0,64,0.6
539,300.0,185.0,193.0, GVWY,7550.0,10.0,755.0, PRDE,1969.0,10.1,196.9, SHVR,8104.0,10.2,810.4, SNPR,633.0,10.3,63.3, ZIC,6264.0,10.4,626.4, ZIP,7173.0,10.5,717.3,0,64,0.8
733,300.0,167.0,175.0, GVWY,5189.0,10.0,518.9, PRDE,6230.0,10.1,623.0, SHVR,8871.0,10.2,887.1, SNPR,1133.0,10.3,113.3, ZIC,3562.0,10.4,356.2, ZIP,6043.0,10.5,604.3,0,64,1.1
852,300.0,177.0,195.0, GVWY,7099.0,10.0,709.9, PRDE,3488.0,10.1,348.8, SHVR,4791.0,10.2,479.1, SNPR,2263.0,10.3,226.3, ZIC,1206.0,10.4,120.6, ZIP,7448.0,10.5,744.8,0,64,1.3
542,300.0,185.0,187.0, GVWY,7667.0,10.0,766.7, PRDE,934.0,10.1,93.4, SHVR,7118.0,10.2,711.8, SNPR,2453.0,10.3,245.3, ZIC,2455.0,10.4,245.5, ZIP,4127.0,10.5,412.7,0,64,1.5
362,300.0,179.0,186.0, GVWY,10007.0,10.0,1000.7, PRDE,2034.0,10.1,203.4, SHVR,10747.0,10.2,1074.7, SNPR,373.0,10.3,37.3, ZIC,2222.0,10.4,222.2, ZIP,5653.0,10.5,565.3,0,64,1.7
786,300.0,185.0,190.0, GVWY,5000.0,10.0,500.0, PRDE,4670.0,10.1,467.0, SHVR,4654.0,10.2,465.4, SNPR,1195.0,10.3,119.5, ZIC,4417.0,10.4,441.7, ZIP,5874.0,10.5,587.4,0,64,2.0
587,300.0,174.0,181.0, GVWY,8295.0,10.0,829.5, PRDE,3521.0,10.1,352.1, SHVR,7097.0,10.2,709.7, SNPR,944.0,10.3,94.4, ZIC,2953.0,10.4,295.3, ZIP,4932.0,10.5,493.2,0,128,0.0
759,300.0,164.0,187.0, GVWY,4323.0,10.0,432.3, PRDE,3603.0,10.1,360.3, SHVR,10135.0,10.2,1013.5, SNPR,1535.0,10.3,153.5, ZIC,5550.0,10.4,555.0, ZIP,81.0,10.5,8.1,0,128,0.2
876,300.0,197.0,200.0, GVWY,7621.0,10.0,762.1, PRDE,2944.0,10.1,294.4, SHVR,5734.0,10.2,573.4, SNPR,2420.0,10.3,242.0, ZIC,1717.0,10.4,171.7, ZIP,6056.0,10.5,605.6,0,128,0.4
523,300.0,188.0,197.0, GVWY,5063.0,10.0,506.3, PRDE,2370.0,10.1,237.0, SHVR,4179.0,10.2,417.9, SNPR,2850.0,10.3,285.0, ZIC,3624.0,10.4,362.4, ZIP,2927.0,10.5,292.7,0,128,0.6
794,300.0,174.0,182.0, GVWY,11546.0,10.0,1154.6, PRDE,2237.0,10.1,223.7, SHVR,7837.0,10.2,783.7, SNPR,969.0,10.3,96.9, ZIC,3168.0,10.4,316.8, ZIP,811.0,10.5,81.1,0,128,0.8
559,300.0,180.0,185.0, GVWY,4616.0,10.0,461.6, PRDE,3869.0,10.1,386.9, SHVR,6704.0,10.2,670.4, SNPR,1214.0,10.3,121.4, ZIC,2427.0,10.4,242.7, ZIP,5837.0,10.5,583.7,0,128,1.1
