,avg_profit1,run_n,k,F
484,117.1,4,64,1.1
739,866.2,4,64,1.3
286,220.9,4,64,1.5
104,372.5,4,64,1.7
544,329.1,4,64,2.0
877,463.8,4,128,0.0
529,235.6,4,128,0.2
674,116.3,4,128,0.4
38,222.9,4,128,0.6
521,31.5,4,128,0.8
361,388.2,4,128,1.1
303,304.2,4,128,1.3
49,447.2,4,128,1.5
880,213.0,4,128,1.7
630,323.7,4,128,2.0
761,158.1,4,256,0.0
66,323.1,4,256,0.2
199,387.4,4,256,0.4
803,503.3,4,256,0.6
231,127.0,4,256,0.8
579,418.7,4,256,1.1
556,235.9,4,256,1.3
748,678.0,4,256,1.5
60,154.5,4,256,1.7
214,445.0,4,256,2.0
571,169.3,4,512,0.0
475,180.8,4,512,0.2
768,331.6,4,512,0.4
206,469.2,4,512,0.6
186,253.6,4,512,0.8
185,229.1,4,512,1.1
653,118.8,4,512,1.3
86,399.7,4,512,1.5
728,25.7,4,512,1.7
751,231.4,4,512,2.0
161,351.6,4,1024,0.0
232,14.9,4,1024,0.2
801,299.6,4,1024,0.4
646,384.0,4,1024,0.6
21,297.9,4,1024,0.8
150,198.0,4,1024,1.1
707,333.9,4,1024,1.3
135,150.5,4,1024,1.5
582,417.7,4,1024,1.7
614,243.7,4,1024,2.0
818,473.4,5,4,0.0
404,180.5,5,4,0.2
782,240.9,5,4,0.4
655,286.8,5,4,0.6
607,257.1,5,4,0.8
609,439.1,5,4,1.1
722,558.6,5,4,1.3
743,225.7,5,4,1.5
132,524.8,5,4,1.7
451,110.5,5,4,2.0
428,171.5,5,8,0.0
292,704.2,5,8,0.2
608,118.7,5,8,0.4
379,186.8,5,8,0.6
270,158.3,5,8,0.8
282,528.7,5,8,1.1
692,199.4,5,8,1.3
280,402.6,5,8,1.5
680,185.9,5,8,1.7
302,348.6,5,8,2.0
465,125.1,5,16,0.0
301,605.3,5,16,0.2
699,386.3,5,16,0.4
767,329.4,5,16,0.6
45,167.6,5,16,0.8
237,292.7,5,16,1.1
20,782.1,5,16,1.3
580,671.5,5,16,1.5
583,259.7,5,16,1.7
398,448.3,5,16,2.0
438,301.5,5,32,0.0
509,503.0,5,32,0.2
130,280.0,5,32,0.4
75,284.4,5,32,0.6
565,177.3,5,32,0.8
