,trade,best_bid,best_offer,trader_name0,total_profit0,traders_number0,avg_profit0,trader_name1,total_profit1,traders_number1,avg_profit1,trader_name2,total_profit2,traders_number2,avg_profit2,trader_name3,total_profit3,traders_number3,avg_profit3,trader_name4,total_profit4,traders_number4,avg_profit4,trader_name5,total_profit5,traders_number5,avg_profit5,run_n,k,F
200,300.0,147.0,153.0, GVWY,3265.0,10.0,326.5, PRDE,5810.0,10.1,581.0, SHVR,1707.0,10.2,170.7, SNPR,1953.0,10.3,195.3, ZIC,5174.0,10.4,517.4, ZIP,7337.0,10.5,733.7,0,32,1.5
357,300.0,144.0,154.0, GVWY,8122.0,10.0,812.2, PRDE,3228.0,10.1,322.8, SHVR,5429.0,10.2,542.9, SNPR,1640.0,10.3,164.0, ZIC,1834.0,10.4,183.4, ZIP,7627.0,10.5,762.7,0,32,1.7
883,300.0,145.0,150.0, GVWY,740.0,10.0,74.0, PRDE,2483.0,10.1,248.3, SHVR,8855.0,10.2,885.5, SNPR,1494.0,10.3,149.4, ZIC,3738.0,10.4,373.8, ZIP,4693.0,10.5,469.3,0,32,2.0
895,300.0,148.0,150.0, GVWY,10119.0,10.0,1011.9, PRDE,3293.0,10.1,329.3, SHVR,11164.0,10.2,1116.4, SNPR,1095.0,10.3,109.5, ZIC,1069.0,10.4,106.9, ZIP,4690.0,10.5,469.0,0,64,0.0
156,300.0,144.0,145.0, GVWY,6112.0,10.0,611.2, PRDE,5475.0,10.1,547.5, SHVR,9733.0,10.2,973.3, SNPR,1099.0,10.3,109.9, ZIC,3014.0,10.4,301.4, ZIP,6513.0,10.5,651.3,0,64,0.2
88,300.0,153.0,155.0, GVWY,5586.0,10.0,558.6, PRDE,2179.0,10.1,217.9, SHVR,9477.0,10.2,947.7, SNPR,928.0,10.3,92.8, ZIC,1940.0,10.4,194.0, ZIP,11310.0,10.5,1131.0,0,64,0.4
383,300.0,148.0,157.0, GVWY,4576.0,10.0,457.6, PRDE,5792.0,10.1,579.2, SHVR,5584.0,10.2,558.4, SNPR,1627.0,10.3,162.7, ZIC,1510.0,10.4,151.0, ZIP,7973.0,10.5,797.3,0,64,0.6
295,300.0,149.0,153.0, GVWY,9941.0,10.0,994.1, PRDE,139.0,10.1,13.9, SHVR,12418.0,10.2,1241.8, SNPR,613.0,10.3,61.3, ZIC,5616.0,10.4,561.6, ZIP,5131.0,10.5,513.1,0,64,0.8
493,300.0,158.0,163.0, GVWY,7891.0,10.0,789.1, PRDE,5417.0,10.1,541.7, SHVR,8015.0,10.2,801.5, SNPR,1435.0,10.3,143.5, ZIC,1438.0,10.4,143.8, ZIP,3895.0,10.5,389.5,0,64,1.1
297,300.0,144.0,153.0, GVWY,3668.0,10.0,366.8, PRDE,5514.0,10.1,551.4, SHVR,8726.0,10.2,872.6, SNPR,1192.0,10.3,119.2, ZIC,2481.0,10.4,248.1, ZIP,5753.0,10.5,575.3,0,64,1.3
763,300.0,151.0,155.0, GVWY,10091.0,10.0,1009.1, PRDE,3291.0,10.1,329.1, SHVR,7916.0,10.2,791.6, SNPR,1025.0,10.3,102.5, ZIC,3336.0,10.4,333.6, ZIP,2906.0,10.5,290.6,0,64,1.5
25,300.0,144.0,148.0, GVWY,4491.0,10.0,449.1, PRDE,5637.0,10.1,563.7, SHVR,6713.0,10.2,671.3, SNPR,1148.0,10.3,114.8, ZIC,3807.0,10.4,380.7, ZIP,9306.0,10.5,930.6,0,64,1.7
499,300.0,131.0,148.0, GVWY,4555.0,10.0,455.5, PRDE,1564.0,10.1,156.4, SHVR,7866.0,10.2,786.6, SNPR,1558.0,10.3,155.8, ZIC,4013.0,10.4,401.3, ZIP,7376.0,10.5,737.6,0,64,2.0
586,300.0,158.0,174.0, GVWY,9430.0,10.0,943.0, PRDE,2136.0,10.1,213.6, SHVR,3985.0,10.2,398.5, SNPR,2238.0,10.3,223.8, ZIC,2604.0,10.4,260.4, ZIP,6427.0,10.5,642.7,0,128,0.0
106,300.0,158.0,159.0, GVWY,8533.0,10.0,853.3, PRDE,3444.0,10.1,344.4, SHVR,5165.0,10.2,516.5, SNPR,1041.0,10.3,104.1, ZIC,2505.0,10.4,250.5, ZIP,8873.0,10.5,887.3,0,128,0.2
649,300.0,145.0,173.0, GVWY,4916.0,10.0,491.6, PRDE,3949.0,10.1,394.9, SHVR,2082.0,10.2,208.2, SNPR,1851.0,10.3,185.1, ZIC,3378.0,10.4,337.8, ZIP,6125.0,10.5,612.5,0,128,0.4
77,300.0,156.0,161.0, GVWY,4041.0,10.0,404.1, PRDE,3780.0,10.1,378.0, SHVR,8809.0,10.2,880.9, SNPR,1547.0,10.3,154.7, ZIC,1133.0,10.4,113.3, ZIP,6382.0,10.5,638.2,0,128,0.6
622,300.0,135.0,153.0, GVWY,6470.0,10.0,647.0, PRDE,8219.0,10.1,821.9, SHVR,6792.0,10.2,679.2, SNPR,1118.0,10.3,111.8, ZIC,3085.0,10.4,308.5, ZIP,3373.0,10.5,337.3,0,128,0.8
778,300.0,137.0,152.0, GVWY,7074.0,10.0,707.4, PRDE,2969.0,10.1,296.9, SHVR,6640.0,10.2,664.0, SNPR,966.0,10.3,96.6, ZIC,3519.0,10.4,351.9, ZIP,6094.0,10.5,609.4,0,128,1.1
333,300.0,151.0,157.0, GVWY,7835.0,10.0,783.5, PRDE,2525.0,10.1,252.5, SHVR,12260.0,10.2,1226.0, SNPR,1391.0,10.3,139.1, ZIC,2327.0,10.4,232.7, ZIP,4204.0,10.5,420.4,0,128,1.3
46,300.0,150.0,168.0, GVWY,8495.0,10.0,849.5, PRDE,3015.0,10.1,301.5, SHVR,4253.0,10.2,425.3, SNPR,1473.0,10.3,147.3, ZIC,3204.0,10.4,320.4, ZIP,3508.0,10.5,350.8,0,128,1.5
372,300.0,160.0,164.0, GVWY,4036.0,10.0,403.6, PRDE,3230.0,10.1,323.0, SHVR,7247.0,10.2,724.7, SNPR,2879.0,10.3,287.9, ZIC,1819.0,10.4,181.9, ZIP,3789.0,10.5,378.9,0,128,1.7
78,300.0,139.0,153.0, GVWY,4210.0,10.0,421.0, PRDE,2284.0,10.1,228.4, SHVR,7718.0,10.2,771.8, SNPR,971.0,10.3,97.1, ZIC,2181.0,10.4,218.1, ZIP,11732.0,10.5,1173.2,0,128,2.0
815,300.0,135.0,137.0, GVWY,4085.0,10.0,408.5, PRDE,2896.0,10.1,289.6, SHVR,6667.0,10.2,666.7, SNPR,2406.0,10.3,240.6, ZIC,979.0,10.4,97.9, ZIP,4984.0,10.5,498.4,0,256,0.0
242,300.0,144.0,167.0, GVWY,3975.0,10.0,397.5, PRDE,3352.0,10.1,335.2, SHVR,7041.0,10.2,704.1, SNPR,893.0,10.3,89.3, ZIC,6310.0,10.4,631.0, ZIP,4918.0,10.5,491.8,0,256,0.2
30,300.0,150.0,157.0, GVWY,2040.0,10.0,204.0, PRDE,2570.0,10.1,257.0, SHVR,7738.0,10.2,773.8, SNPR,1705.0,10.3,170.5, ZIC,4035.0,10.4,403.5, ZIP,5050.0,10.5,505.0,0,256,0.4
813,300.0,152.0,157.0, GVWY,28.0,10.0,2.8, PRDE,7360.0,10.1,736.0, SHVR,8189.0,10.2,818.9, SNPR,1322.0,10.3,132.2, ZIC,3628.0,10.4,362.8, ZIP,5659.0,10.5,565.9,0,256,0.6
342,300.0,144.0,159.0, GVWY,5959.0,10.0,595.9, PRDE,8133.0,10.1,813.3, SHVR,4615.0,10.2,461.5, SNPR,1180.0,10.3,118.0, ZIC,2089.0,10.4,208.9, ZIP,8351.0,10.5,835.1,0,256,0.8
681,300.0,155.0,165.0, GVWY,5909.0,10.0,590.9, PRDE,1501.0,10.1,150.1, SHVR,6461.0,10.2,646.1, SNPR,2191.0,10.3,219.1, ZIC,3165.0,10.4,316.5, ZIP,5705.0,10.5,570.5,0,256,1.1
283,300.0,143.0,147.0, GVWY,2810.0,10.0,281.0, PRDE,3738.0,10.1,373.8, SHVR,8647.0,10.2,864.7, SNPR,1694.0,10.3,169.4, ZIC,2525.0,10.4,252.5, ZIP,6524.0,10.5,652.4,0,256,1.3
