,trade,best_bid,best_offer,trader_name0,total_profit0,traders_number0,avg_profit0,trader_name1,total_profit1,traders_number1,avg_profit1,trader_name2,total_profit2,traders_number2,avg_profit2,trader_name3,total_profit3,traders_number3,avg_profit3,trader_name4,total_profit4,traders_number4,avg_profit4,trader_name5,total_profit5,traders_number5,avg_profit5,run_n,k,F
879,300.0,182.0,186.0, GVWY,11302.0,10.0,1130.2, PRDE,1350.0,10.1,135.0, SHVR,9265.0,10.2,926.5, SNPR,1823.0,10.3,182.3, ZIC,2049.0,10.4,204.9, ZIP,5553.0,10.5,555.3,0,128,0.8
385,300.0,181.0,187.0, GVWY,4065.0,10.0,406.5, PRDE,3333.0,10.1,333.3, SHVR,9712.0,10.2,971.2, SNPR,1854.0,10.3,185.4, ZIC,3378.0,10.4,337.8, ZIP,5459.0,10.5,545.9,0,128,1.1
838,300.0,178.0,184.0, GVWY,5086.0,10.0,508.6, PRDE,1761.0,10.1,176.1, SHVR,6355.0,10.2,635.5, SNPR,1054.0,10.3,105.4, ZIC,3917.0,10.4,391.7, ZIP,11125.0,10.5,1112.5,0,128,1.3
558,300.0,183.0,190.0, GVWY,7277.0,10.0,727.7, PRDE,2294.0,10.1,229.4, SHVR,7913.0,10.2,791.3, SNPR,2055.0,10.3,205.5, ZIC,3498.0,10.4,349.8, ZIP,5519.0,10.5,551.9,0,128,1.5
449,300.0,155.0,182.0, GVWY,5294.0,10.0,529.4, PRDE,2063.0,10.1,206.3, SHVR,6650.0,10.2,665.0, SNPR,3066.0,10.3,306.6, ZIC,3524.0,10.4,352.4, ZIP,4432.0,10.5,443.2,0,128,1.7
527,300.0,165.0,179.0, GVWY,6052.0,10.0,605.2, PRDE,4833.0,10.1,483.3, SHVR,6025.0,10.2,602.5, SNPR,2149.0,10.3,214.9, ZIC,3356.0,10.4,335.6, ZIP,3836.0,10.5,383.6,0,128,2.0
803,300.0,180.0,184.0, GVWY,3501.0,10.0,350.1, PRDE,7308.0,10.1,730.8, SHVR,8786.0,10.2,878.6, SNPR,775.0,10.3,77.5, ZIC,5332.0,10.4,533.2, ZIP,5474.0,10.5,547.4,0,256,0.0
166,300.0,181.0,187.0, GVWY,7121.0,10.0,712.1, PRDE,6544.0,10.1,654.4, SHVR,5761.0,10.2,576.1, SNPR,1263.0,10.3,126.3, ZIC,2294.0,10.4,229.4, ZIP,6946.0,10.5,694.6,0,256,0.2
49,300.0,192.0,194.0, GVWY,6161.0,10.0,616.1, PRDE,2038.0,10.1,203.8, SHVR,7276.0,10.2,727.6, SNPR,825.0,10.3,82.5, ZIC,5573.0,10.4,557.3, ZIP,5828.0,10.5,582.8,0,256,0.4
795,300.0,164.0,184.0, GVWY,14274.0,10.0,1427.4, PRDE,838.0,10.1,83.8, SHVR,3103.0,10.2,310.3, SNPR,1098.0,10.3,109.8, ZIC,1842.0,10.4,184.2, ZIP,12122.0,10.5,1212.2,0,256,0.6
398,300.0,180.0,195.0, GVWY,7336.0,10.0,733.6, PRDE,3171.0,10.1,317.1, SHVR,7518.0,10.2,751.8, SNPR,1547.0,10.3,154.7, ZIC,2797.0,10.4,279.7, ZIP,5748.0,10.5,574.8,0,256,0.8
306,300.0,169.0,195.0, GVWY,11155.0,10.0,1115.5, PRDE,2752.0,10.1,275.2, SHVR,9025.0,10.2,902.5, SNPR,757.0,10.3,75.7, ZIC,3018.0,10.4,301.8, ZIP,4735.0,10.5,473.5,0,256,1.1
272,300.0,180.0,204.0, GVWY,5266.0,10.0,526.6, PRDE,4256.0,10.1,425.6, SHVR,7086.0,10.2,708.6, SNPR,1539.0,10.3,153.9, ZIC,2691.0,10.4,269.1, ZIP,7219.0,10.5,721.9,0,256,1.3
383,300.0,166.0,170.0, GVWY,6768.0,10.0,676.8, PRDE,2561.0,10.1,256.1, SHVR,6709.0,10.2,670.9, SNPR,2865.0,10.3,286.5, ZIC,1032.0,10.4,103.2, ZIP,7652.0,10.5,765.2,0,256,1.5
519,300.0,170.0,173.0, GVWY,8100.0,10.0,810.0, PRDE,5446.0,10.1,544.6, SHVR,6207.0,10.2,620.7, SNPR,1156.0,10.3,115.6, ZIC,3308.0,10.4,330.8, ZIP,5557.0,10.5,555.7,0,256,1.7
100,300.0,177.0,187.0, GVWY,7887.0,10.0,788.7, PRDE,4550.0,10.1,455.0, SHVR,3255.0,10.2,325.5, SNPR,1150.0,10.3,115.0, ZIC,4252.0,10.4,425.2, ZIP,9663.0,10.5,966.3,0,256,2.0
524,300.0,182.0,188.0, GVWY,3604.0,10.0,360.4, PRDE,4361.0,10.1,436.1, SHVR,4289.0,10.2,428.9, SNPR,2506.0,10.3,250.6, ZIC,1928.0,10.4,192.8, ZIP,5006.0,10.5,500.6,0,512,0.0
143,300.0,178.0,181.0, GVWY,6279.0,10.0,627.9, PRDE,4180.0,10.1,418.0, SHVR,6657.0,10.2,665.7, SNPR,2593.0,10.3,259.3, ZIC,2133.0,10.4,213.3, ZIP,6755.0,10.5,675.5,0,512,0.2
715,300.0,175.0,181.0, GVWY,6880.0,10.0,688.0, PRDE,3309.0,10.1,330.9, SHVR,7563.0,10.2,756.3, SNPR,846.0,10.3,84.6, ZIC,2089.0,10.4,208.9, ZIP,10358.0,10.5,1035.8,0,512,0.4
502,300.0,171.0,194.0, GVWY,7081.0,10.0,708.1, PRDE,1791.0,10.1,179.1, SHVR,6830.0,10.2,683.0, SNPR,1237.0,10.3,123.7, ZIC,6841.0,10.4,684.1, ZIP,3942.0,10.5,394.2,0,512,0.6
222,300.0,183.0,188.0, GVWY,6465.0,10.0,646.5, PRDE,4587.0,10.1,458.7, SHVR,4916.0,10.2,491.6, SNPR,1090.0,10.3,109.0, ZIC,2942.0,10.4,294.2, ZIP,6751.0,10.5,675.1,0,512,0.8
309,300.0,183.0,186.0, GVWY,6389.0,10.0,638.9, PRDE,7048.0,10.1,704.8, SHVR,6365.0,10.2,636.5, SNPR,1207.0,10.3,120.7, ZIC,2653.0,10.4,265.3, ZIP,7161.0,10.5,716.1,0,512,1.1
124,300.0,175.0,183.0, GVWY,11783.0,10.0,1178.3, PRDE,2717.0,10.1,271.7, SHVR,8988.0,10.2,898.8, SNPR,1069.0,10.3,106.9, ZIC,1242.0,10.4,124.2, ZIP,6887.0,10.5,688.7,0,512,1.3
796,300.0,175.0,184.0, GVWY,3928.0,10.0,392.8, PRDE,6615.0,10.1,661.5, SHVR,8806.0,10.2,880.6, SNPR,1863.0,10.3,186.3, ZIC,1803.0,10.4,180.3, ZIP,5358.0,10.5,535.8,0,512,1.5
133,300.0,176.0,184.0, GVWY,8607.0,10.0,860.7, PRDE,2674.0,10.1,267.4, SHVR,5618.0,10.2,561.8, SNPR,1931.0,10.3,193.1, ZIC,2199.0,10.4,219.9, ZIP,8077.0,10.5,807.7,0,512,1.7
461,300.0,172.0,180.0, GVWY,9407.0,10.0,940.7, PRDE,1558.0,10.1,155.8, SHVR,3590.0,10.2,359.0, SNPR,2571.0,10.3,257.1, ZIC,3182.0,10.4,318.2, ZIP,7476.0,10.5,747.6,0,512,2.0
168,300.0,180.0,187.0, GVWY,8457.0,10.0,845.7, PRDE,1098.0,10.1,109.8, SHVR,9305.0,10.2,930.5, SNPR,1387.0,10.3,138.7, ZIC,4213.0,10.4,421.3, ZIP,6921.0,10.5,692.1,0,1024,0.0
239,300.0,174.0,180.0, GVWY,13583.0,10.0,1358.3, PRDE,2883.0,10.1,288.3, SHVR,5133.0,10.2,513.3, SNPR,1146.0,10.3,114.6, ZIC,1722.0,10.4,172.2, ZIP,6707.0,10.5,670.7,0,1024,0.2
294,300.0,191.0,193.0, GVWY,6490.0,10.0,649.0, PRDE,5957.0,10.1,595.7, SHVR,2935.0,10.2,293.5, SNPR,1171.0,10.3,117.1, ZIC,4695.0,10.4,469.5, ZIP,7896.0,10.5,789.6,0,1024,0.4
8,300.0,178.0,188.0, GVWY,8707.0,10.0,870.7, PRDE,3663.0,10.1,366.3, SHVR,4414.0,10.2,441.4, SNPR,1235.0,10.3,123.5, ZIC,5659.0,10.4,565.9, ZIP,7409.0,10.5,740.9,0,1024,0.6
217,300.0,181.0,188.0, GVWY,4262.0,10.0,426.2, PRDE,3784.0,10.1,378.4, SHVR,10400.0,10.2,1040.0, SNPR,1698.0,10.3,169.8, ZIC,2315.0,10.4,231.5, ZIP,6182.0,10.5,618.2,0,1024,0.8
131,300.0,171.0,174.0, GVWY,5782.0,10.0,578.2, PRDE,3731.0,10.1,373.1, SHVR,5558.0,10.2,555.8, SNPR,1203.0,10.3,120.3, ZIC,5500.0,10.4,550.0, ZIP,7481.0,10.5,748.1,0,1024,1.1
307,300.0,184.0,192.0, GVWY,6286.0,10.0,628.6, PRDE,2594.0,10.1,259.4, SHVR,8599.0,10.2,859.9, SNPR,1231.0,10.3,123.1, ZIC,2305.0,10.4,230.5, ZIP,7547.0,10.5,754.7,0,1024,1.3
512,300.0,174.0,179.0, GVWY,6646.0,10.0,664.6, PRDE,5196.0,10.1,519.6, SHVR,4328.0,10.2,432.8, SNPR,1537.0,10.3,153.7, ZIC,4060.0,10.4,406.0, ZIP,5257.0,10.5,525.7,0,1024,1.5
594,300.0,174.0,179.0, GVWY,5618.0,10.0,561.8, PRDE,3555.0,10.1,355.5, SHVR,6384.0,10.2,638.4, SNPR,1064.0,10.3,106.4, ZIC,3889.0,10.4,388.9, ZIP,9340.0,10.5,934.0,0,1024,1.7
415,300.0,167.0,179.0, GVWY,7637.0,10.0,763.7, PRDE,3806.0,10.1,380.6, SHVR,6134.0,10.2,613.4, SNPR,900.0,10.3,90.0, ZIC,2327.0,10.4,232.7, ZIP,8173.0,10.5,817.3,0,1024,2.0
99,300.0,177.0,185.0, GVWY,4895.0,10.0,489.5, PRDE,3494.0,10.1,349.4, SHVR,4724.0,10.2,472.4, SNPR,833.0,10.3,83.3, ZIC,7002.0,10.4,700.2, ZIP,7256.0,10.5,725.6,1,4,0.0
584,300.0,172.0,188.0, GVWY,8828.0,10.0,882.8, PRDE,4875.0,10.1,487.5, SHVR,4976.0,10.2,497.6, SNPR,1462.0,10.3,146.2, ZIC,2981.0,10.4,298.1, ZIP,4990.0,10.5,499.0,1,4,0.2
102,300.0,181.0,188.0, GVWY,2868.0,10.0,286.8, PRDE,2792.0,10.1,279.2, SHVR,8416.0,10.2,841.6, SNPR,2544.0,10.3,254.4, ZIC,3938.0,10.4,393.8, ZIP,3855.0,10.5,385.5,1,4,0.4
851,300.0,190.0,192.0, GVWY,7086.0,10.0,708.6, PRDE,3929.0,10.1,392.9, SHVR,5899.0,10.2,589.9, SNPR,1626.0,10.3,162.6, ZIC,2866.0,10.4,286.6, ZIP,8883.0,10.5,888.3,1,4,0.6
176,300.0,174.0,185.0, GVWY,8604.0,10.0,860.4, PRDE,6396.0,10.1,639.6, SHVR,8227.0,10.2,822.7, SNPR,547.0,10.3,54.7, ZIC,3382.0,10.4,338.2, ZIP,4715.0,10.5,471.5,1,4,0.8
97,300.0,178.0,182.0, GVWY,13985.0,10.0,1398.5, PRDE,4566.0,10.1,456.6, SHVR,5603.0,10.2,560.3, SNPR,888.0,10.3,88.8, ZIC,3403.0,10.4,340.3, ZIP,4984.0,10.5,498.4,1,4,1.1
