,avg_profit1,run_n,k,F
326,141.4,4,32,1.1
503,84.8,4,32,1.3
218,644.3,4,32,1.5
231,211.1,4,32,1.7
877,101.3,4,32,2.0
161,188.8,4,64,0.0
309,354.9,4,64,0.2
455,355.3,4,64,0.4
754,357.3,4,64,0.6
573,98.3,4,64,0.8
609,236.5,4,64,1.1
637,511.3,4,64,1.3
875,597.7,4,64,1.5
57,406.4,4,64,1.7
296,305.4,4,64,2.0
112,614.2,4,128,0.0
653,207.6,4,128,0.2
342,340.2,4,128,0.4
52,202.1,4,128,0.6
172,252.1,4,128,0.8
641,230.7,4,128,1.1
179,174.5,4,128,1.3
48,576.8,4,128,1.5
731,417.3,4,128,1.7
649,203.9,4,128,2.0
540,447.9,4,256,0.0
149,543.2,4,256,0.2
176,155.4,4,256,0.4
740,272.2,4,256,0.6
835,311.6,4,256,0.8
94,164.4,4,256,1.1
308,289.8,4,256,1.3
885,309.3,4,256,1.5
156,334.7,4,256,1.7
868,441.4,4,256,2.0
248,78.7,4,512,0.0
610,287.2,4,512,0.2
514,85.9,4,512,0.4
445,124.3,4,512,0.6
606,263.6,4,512,0.8
703,475.2,4,512,1.1
62,363.9,4,512,1.3
300,179.5,4,512,1.5
683,185.2,4,512,1.7
219,61.7,4,512,2.0
688,98.5,4,1024,0.0
820,257.1,4,1024,0.2
727,138.9,4,1024,0.4
619,325.7,4,1024,0.6
60,287.6,4,1024,0.8
47,355.5,4,1024,1.1
567,267.7,4,1024,1.3
253,276.6,4,1024,1.5
853,722.6,4,1024,1.7
784,84.2,4,1024,2.0
291,326.4,5,4,0.0
874,767.7,5,4,0.2
14,213.8,5,4,0.4
411,128.5,5,4,0.6
693,267.3,5,4,0.8
236,291.5,5,4,1.1
516,208.7,5,4,1.3
250,534.9,5,4,1.5
142,258.3,5,4,1.7
28,369.8,5,4,2.0
493,527.3,5,8,0.0
388,340.7,5,8,0.2
262,237.0,5,8,0.4
690,82.0,5,8,0.6
357,405.4,5,8,0.8
658,148.3,5,8,1.1
334,272.2,5,8,1.3
226,570.0,5,8,1.5
421,67.9,5,8,1.7
365,154.6,5,8,2.0
394,326.1,5,16,0.0
704,169.3,5,16,0.2
672,184.6,5,16,0.4
303,211.4,5,16,0.6
338,170.8,5,16,0.8
407,254.5,5,16,1.1
836,474.6,5,16,1.3
27,330.2,5,16,1.5
58,133.4,5,16,1.7
409,209.6,5,16,2.0
299,329.3,5,32,0.0
21,412.7,5,32,0.2
239,224.7,5,32,0.4
4,360.7,5,32,0.6
622,165.3,5,32,0.8
755,249.0,5,32,1.1
275,522.0,5,32,1.3
630,196.7,5,32,1.5
627,305.4,5,32,1.7
87,397.2,5,32,2.0
721,463.7,5,64,0.0
865,503.0,5,64,0.2
546,366.8,5,64,0.4
80,495.0,5,64,0.6
774,225.5,5,64,0.8
543,159.7,5,64,1.1
442,213.9,5,64,1.3
223,161.4,5,64,1.5
887,427.0,5,64,1.7
577,167.0,5,64,2.0
24,279.8,5,128,0.0
592,280.4,5,128,0.2
134,486.8,5,128,0.4
72,312.1,5,128,0.6
843,563.9,5,128,0.8
49,214.8,5,128,1.1
3,405.3,5,128,1.3
564,390.1,5,128,1.5
389,573.5,5,128,1.7
204,149.1,5,128,2.0
465,342.1,5,256,0.0
502,105.6,5,256,0.2
643,436.7,5,256,0.4
315,338.5,5,256,0.6
354,437.4,5,256,0.8
68,665.9,5,256,1.1
492,182.9,5,256,1.3
81,216.3,5,256,1.5
722,531.3,5,256,1.7
36,280.9,5,256,2.0
886,545.2,5,512,0.0
896,65.1,5,512,0.2
804,120.9,5,512,0.4
815,365.2,5,512,0.6
64,60.8,5,512,0.8
864,123.2,5,512,1.1
126,220.1,5,512,1.3
209,269.8,5,512,1.5
460,427.5,5,512,1.7
673,163.6,5,512,2.0
243,466.3,5,1024,0.0
584,98.5,5,1024,0.2
506,301.7,5,1024,0.4
652,308.4,5,1024,0.6
222,183.9,5,1024,0.8
168,266.6,5,1024,1.1
402,238.7,5,1024,1.3
46,270.8,5,1024,1.5
15,603.2,5,1024,1.7
111,204.0,5,1024,2.0
591,154.4,6,4,0.0
861,416.3,6,4,0.2
715,103.4,6,4,0.4
371,114.8,6,4,0.6
412,316.0,6,4,0.8
379,330.5,6,4,1.1
635,281.4,6,4,1.3
520,787.2,6,4,1.5
305,333.0,6,4,1.7
115,340.6,6,4,2.0
256,289.8,6,8,0.0
572,322.0,6,8,0.2
534,237.9,6,8,0.4
310,240.9,6,8,0.6
449,173.7,6,8,0.8
659,511.7,6,8,1.1
318,132.0,6,8,1.3
798,52.0,6,8,1.5
608,75.2,6,8,1.7
424,678.0,6,8,2.0
857,331.1,6,16,0.0
737,367.9,6,16,0.2
680,349.7,6,16,0.4
576,199.0,6,16,0.6
98,222.2,6,16,0.8
335,311.8,6,16,1.1
457,185.7,6,16,1.3
280,411.7,6,16,1.5
393,34.5,6,16,1.7
655,79.6,6,16,2.0
889,283.1,6,32,0.0
706,281.4,6,32,0.2
197,788.7,6,32,0.4
624,430.1,6,32,0.6
494,403.8,6,32,0.8
395,372.5,6,32,1.1
104,491.8,6,32,1.3
59,246.3,6,32,1.5
171,311.0,6,32,1.7
623,479.7,6,32,2.0
789,159.2,6,64,0.0
489,211.6,6,64,0.2
537,419.1,6,64,0.4
251,175.5,6,64,0.6
821,155.6,6,64,0.8
735,355.2,6,64,1.1
430,566.7,6,64,1.3
