,avg_profit1,run_n,k,F
705,327.4,7,256,1.3
262,323.8,7,256,1.5
828,789.8,7,256,1.7
441,566.1,7,256,2.0
858,191.9,7,512,0.0
746,318.5,7,512,0.2
649,481.0,7,512,0.4
125,214.3,7,512,0.6
423,529.4,7,512,0.8
458,592.9,7,512,1.1
543,607.9,7,512,1.3
637,547.4,7,512,1.5
534,283.3,7,512,1.7
69,427.2,7,512,2.0
719,769.3,7,1024,0.0
159,225.3,7,1024,0.2
16,263.5,7,1024,0.4
358,434.1,7,1024,0.6
59,376.5,7,1024,0.8
877,374.5,7,1024,1.1
94,262.9,7,1024,1.3
608,514.5,7,1024,1.5
42,172.8,7,1024,1.7
252,285.0,7,1024,2.0
601,149.7,8,4,0.0
829,473.8,8,4,0.2
196,495.3,8,4,0.4
48,164.9,8,4,0.6
110,685.2,8,4,0.8
878,505.3,8,4,1.1
454,441.8,8,4,1.3
900,252.3,8,4,1.5
866,204.0,8,4,1.7
505,415.1,8,4,2.0
886,294.7,8,8,0.0
753,411.3,8,8,0.2
477,293.4,8,8,0.4
860,368.5,8,8,0.6
197,804.9,8,8,0.8
667,443.6,8,8,1.1
782,241.6,8,8,1.3
755,309.8,8,8,1.5
530,288.9,8,8,1.7
727,455.2,8,8,2.0
328,334.9,8,16,0.0
430,404.6,8,16,0.2
526,372.6,8,16,0.4
769,438.7,8,16,0.6
805,513.8,8,16,0.8
315,466.4,8,16,1.1
340,523.8,8,16,1.3
620,330.9,8,16,1.5
615,401.0,8,16,1.7
414,466.2,8,16,2.0
95,206.6,8,32,0.0
656,238.0,8,32,0.2
183,252.1,8,32,0.4
614,335.8,8,32,0.6
881,323.2,8,32,0.8
30,231.0,8,32,1.1
551,263.1,8,32,1.3
136,431.5,8,32,1.5
364,280.5,8,32,1.7
560,363.9,8,32,2.0
801,408.5,8,64,0.0
476,473.9,8,64,0.2
324,314.1,8,64,0.4
613,272.7,8,64,0.6
345,154.3,8,64,0.8
590,319.1,8,64,1.1
499,258.3,8,64,1.3
178,317.5,8,64,1.5
616,913.7,8,64,1.7
413,278.4,8,64,2.0
249,336.5,8,128,0.0
742,285.1,8,128,0.2
286,287.7,8,128,0.4
187,389.2,8,128,0.6
224,177.5,8,128,0.8
318,910.4,8,128,1.1
816,383.9,8,128,1.3
767,392.7,8,128,1.5
61,315.4,8,128,1.7
257,289.0,8,128,2.0
752,301.4,8,256,0.0
56,309.3,8,256,0.2
517,96.7,8,256,0.4
32,479.3,8,256,0.6
135,401.7,8,256,0.8
275,625.5,8,256,1.1
774,242.6,8,256,1.3
781,226.7,8,256,1.5
830,212.3,8,256,1.7
78,287.5,8,256,2.0
587,152.3,8,512,0.0
859,329.8,8,512,0.2
840,295.0,8,512,0.4
779,306.7,8,512,0.6
686,543.8,8,512,0.8
425,404.5,8,512,1.1
768,127.9,8,512,1.3
53,92.2,8,512,1.5
809,225.3,8,512,1.7
259,372.0,8,512,2.0
246,490.8,8,1024,0.0
190,267.8,8,1024,0.2
351,221.6,8,1024,0.4
600,575.7,8,1024,0.6
744,159.4,8,1024,0.8
20,252.1,8,1024,1.1
521,89.3,8,1024,1.3
378,484.4,8,1024,1.5
374,672.9,8,1024,1.7
375,250.1,8,1024,2.0
894,500.8,9,4,0.0
15,584.1,9,4,0.2
675,279.7,9,4,0.4
491,215.7,9,4,0.6
193,268.0,9,4,0.8
481,412.8,9,4,1.1
810,129.9,9,4,1.3
203,371.4,9,4,1.5
344,380.9,9,4,1.7
452,146.5,9,4,2.0
9,769.3,9,8,0.0
674,114.0,9,8,0.2
55,462.4,9,8,0.4
857,306.3,9,8,0.6
462,197.0,9,8,0.8
11,198.3,9,8,1.1
761,317.2,9,8,1.3
873,618.7,9,8,1.5
739,150.8,9,8,1.7
381,381.0,9,8,2.0
474,403.0,9,16,0.0
227,184.3,9,16,0.2
209,380.5,9,16,0.4
10,413.7,9,16,0.6
251,69.9,9,16,0.8
147,195.0,9,16,1.1
835,155.7,9,16,1.3
554,431.6,9,16,1.5
634,407.3,9,16,1.7
442,585.6,9,16,2.0
342,456.8,9,32,0.0
511,177.7,9,32,0.2
12,389.1,9,32,0.4
446,226.8,9,32,0.6
478,95.3,9,32,0.8
407,358.0,9,32,1.1
538,283.8,9,32,1.3
760,297.5,9,32,1.5
155,424.5,9,32,1.7
648,358.6,9,32,2.0
46,158.7,9,64,0.0
856,463.3,9,64,0.2
738,831.9,9,64,0.4
578,365.6,9,64,0.6
832,562.0,9,64,0.8
267,614.6,9,64,1.1
882,220.5,9,64,1.3
426,432.8,9,64,1.5
516,215.4,9,64,1.7
435,222.3,9,64,2.0
812,335.0,9,128,0.0
515,399.7,9,128,0.2
118,244.4,9,128,0.4
490,463.2,9,128,0.6
770,28.9,9,128,0.8
683,403.5,9,128,1.1
80,499.7,9,128,1.3
640,493.3,9,128,1.5
702,507.0,9,128,1.7
106,370.6,9,128,2.0
195,442.7,9,256,0.0
440,327.8,9,256,0.2
255,773.2,9,256,0.4
226,399.5,9,256,0.6
394,491.7,9,256,0.8
122,506.8,9,256,1.1
247,714.2,9,256,1.3
93,394.7,9,256,1.5
808,267.0,9,256,1.7
163,581.6,9,256,2.0
652,495.5,9,512,0.0
228,561.8,9,512,0.2
37,526.6,9,512,0.4
692,197.2,9,512,0.6
743,114.0,9,512,0.8
387,346.8,9,512,1.1
322,370.5,9,512,1.3
238,517.8,9,512,1.5
842,460.5,9,512,1.7
549,290.7,9,512,2.0
824,317.2,9,1024,0.0
357,305.8,9,1024,0.2
71,317.5,9,1024,0.4
764,257.4,9,1024,0.6
693,314.4,9,1024,0.8
565,43.2,9,1024,1.1
189,381.8,9,1024,1.3
84,822.4,9,1024,1.5
380,411.1,9,1024,1.7
459,496.9,9,1024,2.0
